"类别","中文名称","英文名称","Wiki页面","Wiki文件页","原图URL","仓库图片","文件许可","文件页来源","Wiki上传账号","SHA-256","分发状态"
"主武器","AR-2 郊狼","AR-2 Coyote","https://helldivers.wiki.gg/wiki/AR-2_Coyote","https://helldivers.wiki.gg/wiki/File:AR-2_Coyote_Primary_Render.png","https://helldivers.wiki.gg/images/AR-2_Coyote_Primary_Render.png?5fee45","images/primary/ar-2-coyote.png","CC BY-NC-SA 4.0","User:Undeadender","Undeadender","898612fc1701eecfbde95d0ad18e244382805cd4b551a2143ccd96de0c8a47b3","included-cc-by-nc-sa-4.0"
"主武器","AR-23 解放者","AR-23 Liberator","https://helldivers.wiki.gg/wiki/AR-23_Liberator","https://helldivers.wiki.gg/wiki/File:AR-23_Liberator_Primary_Render.png","https://helldivers.wiki.gg/images/AR-23_Liberator_Primary_Render.png?97e7bb","images/primary/ar-23-liberator.png","CC BY-NC-SA 4.0","User:Undeadender","Undeadender","10b54c54268d9222b407e93c2870941795c911fc9cc2dee1cfcb1315c0822c4f","included-cc-by-nc-sa-4.0"
"主武器","AR-23A 解放者卡宾枪","AR-23A Liberator Carbine","https://helldivers.wiki.gg/wiki/AR-23A_Liberator_Carbine","https://helldivers.wiki.gg/wiki/File:AR-23A_Liberator_Carbine_Primary_Render.png","https://helldivers.wiki.gg/images/AR-23A_Liberator_Carbine_Primary_Render.png?4b36e2","images/primary/ar-23a-liberator-carbine.png","CC BY-NC-SA 4.0","User:Undeadender","Undeadender","790b286e3b8675da7a495ebcab90cb6d4ba71338ce721a5c117ecafb32f1ba20","included-cc-by-nc-sa-4.0"
"主武器","AR-23C 震荡解放者","AR-23C Liberator Concussive","https://helldivers.wiki.gg/wiki/AR-23C_Liberator_Concussive","https://helldivers.wiki.gg/wiki/File:AR-23C_Liberator_Concussive_Primary_Render.png","https://helldivers.wiki.gg/images/AR-23C_Liberator_Concussive_Primary_Render.png?71f573","images/primary/ar-23c-liberator-concussive.png","CC BY-NC-SA 4.0","User:Undeadender","Undeadender","c1b952756f6a95411ece28748b832e37b9b358e7651c483f24773431666fd65a","included-cc-by-nc-sa-4.0"
"主武器","AR-23P 穿透解放者","AR-23P Liberator Penetrator","https://helldivers.wiki.gg/wiki/AR-23P_Liberator_Penetrator","https://helldivers.wiki.gg/wiki/File:AR-23P_Liberator_Penetrator_Primary_Render.png","https://helldivers.wiki.gg/images/AR-23P_Liberator_Penetrator_Primary_Render.png?82edd5","images/primary/ar-23p-liberator-penetrator.png","CC BY-NC-SA 4.0","User:Undeadender","Undeadender","ced7f7ab27580351e61b5dc46258c8c7b78162c94a41759389c6966087535b72","included-cc-by-nc-sa-4.0"
"主武器","AR-32 和平使者","AR-32 Pacifier","https://helldivers.wiki.gg/wiki/AR-32_Pacifier","https://helldivers.wiki.gg/wiki/File:AR-32_Pacifier_Primary_Render.png","https://helldivers.wiki.gg/images/AR-32_Pacifier_Primary_Render.png?94e4a0","images/primary/ar-32-pacifier.png","CC BY-NC-SA 4.0","User:Undeadender","Undeadender","0a434c6fb7462c9641b6630a837f6d1a1a2fc872ba40aec60ef18be2225f85f8","included-cc-by-nc-sa-4.0"
"主武器","AR-59 压制者","AR-59 Suppressor","https://helldivers.wiki.gg/wiki/AR-59_Suppressor","https://helldivers.wiki.gg/wiki/File:AR-59_Suppressor_Primary_Render.png","https://helldivers.wiki.gg/images/AR-59_Suppressor_Primary_Render.png?1fe2a4","","UNMARKED","未标明","Undeadender","","metadata-only"
"主武器","AR-61 嫩化者","AR-61 Tenderizer","https://helldivers.wiki.gg/wiki/AR-61_Tenderizer","https://helldivers.wiki.gg/wiki/File:AR-61_Tenderizer_Primary_Render.png","https://helldivers.wiki.gg/images/AR-61_Tenderizer_Primary_Render.png?7278b4","images/primary/ar-61-tenderizer.png","CC BY-NC-SA 4.0","User:Undeadender","Undeadender","08c6e2aba46ee8693f8e67ddcebdaf112817b8c37571c7feaa863078f1c8cc6f","included-cc-by-nc-sa-4.0"
"主武器","ARC-12 电弧喷射枪","ARC-12 Blitzer","https://helldivers.wiki.gg/wiki/ARC-12_Blitzer","https://helldivers.wiki.gg/wiki/File:ARC-12_Blitzer_Primary_Render.png","https://helldivers.wiki.gg/images/ARC-12_Blitzer_Primary_Render.png?acfea4","images/primary/arc-12-blitzer.png","CC BY-NC-SA 4.0","User:Undeadender","Undeadender","c0afe35b53498a3b01c2ae01d3b14bde76fddf495d59443f47a7fe876da53e7a","included-cc-by-nc-sa-4.0"
"主武器","BR-14 审判者","BR-14 Adjudicator","https://helldivers.wiki.gg/wiki/BR-14_Adjudicator","https://helldivers.wiki.gg/wiki/File:BR-14_Adjudicator_Primary_Render.png","https://helldivers.wiki.gg/images/BR-14_Adjudicator_Primary_Render.png?e74a3d","images/primary/br-14-adjudicator.png","CC BY-NC-SA 4.0","User:Undeadender","Undeadender","4b2cf869141e8e1c64131bb8ac6adafce25979b3c83bf8d4212a7478ec2824b0","included-cc-by-nc-sa-4.0"
"主武器","CB-9 爆炸弩","CB-9 Exploding Crossbow","https://helldivers.wiki.gg/wiki/CB-9_Exploding_Crossbow","https://helldivers.wiki.gg/wiki/File:CB-9_Exploding_Crossbow_Primary_Render.png","https://helldivers.wiki.gg/images/CB-9_Exploding_Crossbow_Primary_Render.png?1aa01f","images/primary/cb-9-exploding-crossbow.png","CC BY-NC-SA 4.0","User:Undeadender","Undeadender","28d70516adc90450bfd86356388fe6af47e527678c3a12463316c6f1b4f1bca7","included-cc-by-nc-sa-4.0"
"主武器","DBS-2 双重自由","DBS-2 Double Freedom","https://helldivers.wiki.gg/wiki/DBS-2_Double_Freedom","https://helldivers.wiki.gg/wiki/File:DBS-2_Shotgun_Primary_Render.png","https://helldivers.wiki.gg/images/DBS-2_Shotgun_Primary_Render.png?fd2b05","images/primary/dbs-2-double-freedom.png","CC BY-NC-SA 4.0","User:Silevn Lizard","Silevn Lizard","ff215275d3f1828c45d7913239d2778fb4f87cb72ae7d23da9bfde3fe1835edf","included-cc-by-nc-sa-4.0"
